date,open,high,low,close,volume
2015-08-18,257.925994873,257.9930114746,211.078994751,211.078994751,42147200
2015-08-19,225.671005249,237.408996582,222.7660064697,226.6840057373,60869200
2015-08-20,226.8990020752,237.3650054932,226.8990020752,235.3500061035,32275000
2015-08-21,235.3549957275,236.4320068359,231.7239990234,232.5690002441,23173800
2015-08-22,232.6620025635,234.9570007324,222.703994751,230.3899993896,23205900
2015-08-23,230.3760070801,232.7050018311,225.5800018311,228.1690063477,18406600
2015-08-24,228.1119995117,228.1390075684,210.4429931641,210.4949951172,59220700
2015-08-25,210.0679931641,226.3209991455,199.5670013428,221.6089935303,61089200
2015-08-26,222.0760040283,231.1829986572,220.203994751,225.8309936523,31808000
2015-08-27,226.0500030518,228.6430053711,223.6840057373,224.7689971924,21905400
2015-08-28,224.7010040283,235.2189941406,220.925994873,231.3959960938,31336600
2015-08-29,231.5489959717,233.2220001221,227.3300018311,229.7799987793,17142500
2015-08-30,229.8950042725,232.0679931641,226.2469940186,228.7610015869,19412600
2015-08-31,229.1139984131,231.9559936523,225.9149932861,230.0559997559,20710700
2015-09-01,230.2559967041,231.216003418,226.8600006104,228.1210021973,20575200
2015-09-02,228.0269927979,230.5769958496,226.4750061035,229.283996582,18760400
2015-09-03,229.324005127,229.6049957275,226.6670074463,227.1829986572,17482000
2015-09-04,227.2149963379,230.8999938965,227.050994873,230.2980041504,20962400
2015-09-05,230.199005127,236.1430053711,229.4429931641,235.0189971924,20671400
2015-09-06,234.8699951172,242.9120025635,234.6809997559,239.8399963379,25473700
2015-09-07,239.9340057373,242.1060028076,238.7220001221,239.8470001221,21192200
2015-09-08,239.845993042,245.7810058594,239.6779937744,243.6069946289,26879200
2015-09-09,243.4149932861,244.4160003662,237.8209991455,238.1679992676,23635700
2015-09-10,238.3359985352,241.2929992676,235.7910003662,238.4770050049,21215500
2015-09-11,238.328994751,241.1690063477,238.328994751,240.1069946289,19224700
2015-09-12,239.8549957275,240.1239929199,234.7539978027,235.2290039063,17962600
2015-09-13,235.2420043945,235.9349975586,229.3320007324,230.5119934082,18478800
2015-09-14,230.6089935303,232.4400024414,227.9609985352,230.6439971924,20997800
2015-09-15,230.4920043945,259.1820068359,229.8220062256,230.3040008545,19177800
2015-09-16,230.25,231.2149963379,227.4019927979,229.091003418,20144200
2015-09-17,229.0760040283,230.2850036621,228.925994873,229.8099975586,18935400
2015-09-18,233.5209960938,234.3529968262,232.1849975586,232.9750061035,20242200
2015-09-19,232.858001709,233.2050018311,231.0890045166,231.4929962158,12712600
2015-09-20,231.3990020752,232.3650054932,230.9100036621,231.2120056152,14444700
2015-09-21,231.2169952393,231.2169952393,226.5209960938,227.0850067139,19678800
2015-09-22,226.9689941406,232.3860015869,225.1170043945,230.6179962158,25009300
2015-09-23,230.9360046387,231.8350067139,229.591003418,230.2830047607,17254100
2015-09-24,230.358001709,235.6490020752,230.2949981689,234.529006958,25097800
2015-09-25,234.3619995117,237.4270019531,233.6840057373,235.1439971924,22363600
2015-09-26,235.0760040283,235.4029998779,233.358001709,234.3399963379,13724100
2015-09-27,234.1390075684,234.5260009766,232.4759979248,232.7570037842,14179900
2015-09-28,232.8359985352,239.3390045166,232.4669952393,239.141998291,24713000
2015-09-29,239.0160064697,239.8020019531,235.9279937744,236.68699646,22691300
2015-09-30,236.6399993896,237.7339935303,235.6289978027,236.0599975586,19743500
2015-10-01,236.0039978027,238.4450073242,235.6159973145,237.5489959717,20488800
2015-10-02,237.2640075684,238.5410003662,236.6029968262,237.2929992676,19677900
2015-10-03,237.2019958496,239.3150024414,236.9440002441,238.7299957275,16482700
2015-10-04,238.5310058594,238.9680023193,237.9400024414,238.2590026855,12999000
2015-10-05,238.1470031738,240.3829956055,237.0350036621,240.3829956055,23335900
2015-10-06,240.3639984131,246.9349975586,240.1360015869,246.06300354,27535100
2015-10-07,246.1699981689,246.6809997559,242.5850067139,242.9689941406,22999200
2015-10-08,243.0749969482,244.2510070801,242.1790008545,242.3040008545,18515300
2015-10-09,242.4980010986,244.2279968262,242.1219940186,243.9309997559,17353100
2015-10-10,243.7400054932,245.3190002441,243.074005127,244.9409942627,15912700
2015-10-11,244.7420043945,247.2429962158,244.1519927979,247.0500030518,16827300
2015-10-12,246.875,247.453994751,245.1790008545,245.3079986572,17388300
2015-10-13,245.1999969482,250.2359924316,243.7570037842,249.5079956055,28198500
2015-10-14,249.4929962158,254.2749938965,248.9029998779,251.9889984131,27462600
2015-10-15,252.1069946289,255.9620056152,252.046005249,254.3200073242,25223500
2015-10-16,254.296005249,266.1350097656,253.925994873,262.8689880371,35901500
2015-10-17,262.7470092773,273.5780029297,262.3670043945,270.6400146484,43199600
2015-10-18,270.9070129395,271.6679992676,260.7770080566,261.6430053711,22434300
2015-10-19,261.8609924316,264.8200073242,260.9509887695,263.4370117188,25258800
2015-10-20,263.5719909668,270.8349914551,263.2269897461,269.4630126953,30889800
2015-10-21,269.3059997559,270.7699890137,263.8389892578,266.2720031738,25637300
2015-10-22,266.4960021973,276.5100097656,266.1350097656,274.0230102539,37808600
2015-10-23,273.6489868164,278.6839904785,273.5429992676,276.4960021973,29442500
2015-10-24,276.5039978027,281.7059936523,276.5039978027,281.6539916992,25942400
2015-10-25,281.4450073242,294.0589904785,281.4450073242,283.6799926758,45717100
2015-10-26,283.6279907227,285.299987793,280.5100097656,285.299987793,32108800
2015-10-27,285.1809997559,296.2120056152,285.0079956055,293.7879943848,46331800
2015-10-28,293.7030029297,306.3309936523,293.7030029297,304.6180114746,50808100
2015-10-29,304.324005127,318.1700134277,301.8229980469,313.8550109863,64495900
2015-10-30,313.9429931641,334.1690063477,313.9400024414,328.0150146484,78305000
2015-10-31,328.5119934082,332.7770080566,309.2510070801,314.1659851074,48598100
2015-11-01,315.0050048828,327.4719848633,311.8810119629,325.4309997559,37001100
2015-11-02,325.941986084,365.3599853516,323.2090148926,361.1889953613,101918000
