date,open,high,low,close,volume,oscillator,phase,amplitude,phase_quadrant,signal,position,signal_strength,confidence
2015-09-26,235.0760040283,235.4029998779,233.358001709,234.3399963379,13724100,0.9949516296274794,1.5705634532135622,4272.496832476758,Quadrante 3 (Picco -> Discesa),HOLD,0,13.214124828102335,LOW
2015-09-27,234.1390075684,234.5260009766,232.4759979248,232.7570037842,14179900,0.7477020263575014,1.5705979695202406,3769.471185550412,Quadrante 3 (Picco -> Discesa),HOLD,0,11.651544034485742,LOW
2015-09-28,232.8359985352,239.3390045166,232.4669952393,239.141998291,24713000,1.0529514312650008,1.5705085913976151,3659.4435573188152,Quadrante 3 (Picco -> Discesa),HOLD,0,11.309758163939357,LOW
2015-09-29,239.0160064697,239.8020019531,235.9279937744,236.68699646,22691300,1.538926696772478,1.5703514431050376,3459.166480176588,Quadrante 3 (Picco -> Discesa),HOLD,0,10.687624648369452,LOW
2015-09-30,236.6399993896,237.7339935303,235.6289978027,236.0599975586,19743500,1.936450958249992,1.5702234995569273,3380.5149891561277,Quadrante 3 (Picco -> Discesa),HOLD,0,20.885640777518297,LOW
2015-10-01,236.0039978027,238.4450073242,235.6159973145,237.5489959717,20488800,2.8038749694775333,1.5699326192860816,3246.325045773499,Quadrante 3 (Picco -> Discesa),HOLD,0,20.051380924224787,LOW
2015-10-02,237.2640075684,238.5410003662,236.6029968262,237.2929992676,19677900,3.2432754516600255,1.5697775783771326,3183.588760592104,Quadrante 3 (Picco -> Discesa),HOLD,0,19.661423238055765,LOW
2015-10-03,237.2019958496,239.3150024414,236.9440002441,238.7299957275,16482700,3.38209953308251,1.5696983172278771,3080.210149585539,Quadrante 3 (Picco -> Discesa),HOLD,0,19.01931701697021,LOW
2015-10-04,238.5310058594,238.9680023193,237.9400024414,238.2590026855,12999000,3.3388488769524827,1.5696931440612978,3026.5607432936417,Quadrante 3 (Picco -> Discesa),HOLD,0,18.686363529044478,LOW
2015-10-05,238.1470031738,240.3829956055,237.0350036621,240.3829956055,23335900,3.498948669432565,1.569606518258003,2940.766843138563,Quadrante 3 (Picco -> Discesa),HOLD,0,18.15391747194161,LOW
2015-10-06,240.3639984131,246.9349975586,240.1360015869,246.06300354,27535100,4.138899230952518,1.5693659223154093,2893.5176739946182,Quadrante 3 (Picco -> Discesa),HOLD,0,17.86019288296594,LOW
2015-10-07,246.1699981689,246.6809997559,242.5850067139,242.9689941406,22999200,4.870773315422497,1.5690695525629073,2820.736866325707,Quadrante 3 (Picco -> Discesa),HOLD,0,17.40747913327409,LOW
2015-10-08,243.0749969482,244.2510070801,242.1790008545,242.3040008545,18515300,4.873873519892555,1.5690426143843381,2779.1763283544924,Quadrante 3 (Picco -> Discesa),HOLD,0,17.149147711341456,LOW
2015-10-09,242.4980010986,244.2279968262,242.1219940186,243.9309997559,17353100,5.219023895257493,1.5688738963240016,2714.8066933839555,Quadrante 3 (Picco -> Discesa),HOLD,0,16.749305667660902,LOW
2015-10-10,243.7400054932,245.3190002441,243.074005127,244.9409942627,15912700,5.73499870299753,1.568654065706391,2677.079428068071,Quadrante 3 (Picco -> Discesa),HOLD,0,16.515077820042002,LOW
2015-10-11,244.7420043945,247.2429962158,244.1519927979,247.0500030518,16827300,6.211874389644947,1.5684253068323144,2619.918983363804,Quadrante 3 (Picco -> Discesa),HOLD,0,16.159934801911305,LOW
2015-10-12,246.875,247.453994751,245.1790008545,245.3079986572,17388300,6.612774276724991,1.5682386841859766,2585.4986397569987,Quadrante 3 (Picco -> Discesa),HOLD,0,15.94586046566672,LOW
2015-10-13,245.1999969482,250.2359924316,243.7570037842,249.5079956055,28198500,7.132449340817544,1.5679811678385853,2533.5900645171023,Quadrante 3 (Picco -> Discesa),HOLD,0,15.62329289879646,LOW
2015-10-14,249.4929962158,254.2749938965,248.9029998779,251.9889984131,27462600,7.963174057010036,1.5676132301639927,2501.7108896410537,Quadrante 3 (Picco -> Discesa),HOLD,0,15.425008894642069,LOW
2015-10-15,252.1069946289,255.9620056152,252.046005249,254.3200073242,25223500,8.87434997558492,1.5671807161156608,2454.459314930639,Quadrante 3 (Picco -> Discesa),HOLD,0,15.131054033131694,LOW
2015-10-16,254.296005249,266.1350097656,253.925994873,262.8689880371,35901500,9.979223632814978,1.5666807777853926,2424.7680639321175,Quadrante 3 (Picco -> Discesa),HOLD,0,14.94606934689987,LOW
2015-10-17,262.7470092773,273.5780029297,262.3670043945,270.6400146484,43199600,11.97650032043748,1.5657671463384326,2381.412023393365,Quadrante 3 (Picco -> Discesa),HOLD,0,14.675722476953394,LOW
2015-10-18,270.9070129395,271.6679992676,260.7770080566,261.6430053711,22434300,13.4595005035425,1.565081175239546,2355.0685654873246,Quadrante 3 (Picco -> Discesa),HOLD,0,14.511370001502515,LOW
2015-10-19,261.8609924316,264.8200073242,260.9509887695,263.4370117188,25258800,14.778376388552488,1.5644132403054265,2315.2556005513507,Quadrante 3 (Picco -> Discesa),HOLD,0,14.263690555275911,LOW
2015-10-20,263.5719909668,270.8349914551,263.2269897461,269.4630126953,30889800,16.455928039552532,1.5636122218459396,2290.6221038633767,Quadrante 3 (Picco -> Discesa),HOLD,0,14.110472270141466,LOW
2015-10-21,269.3059997559,270.7699890137,263.8389892578,266.2720031738,25637300,17.72400283813002,1.5629324269218485,2253.867140183791,Quadrante 3 (Picco -> Discesa),HOLD,0,13.882436736082994,LOW
2015-10-22,266.4960021973,276.5100097656,266.1350097656,274.0230102539,37808600,19.625653839110015,1.5619982651862299,2230.7080700889073,Quadrante 3 (Picco -> Discesa),HOLD,0,13.73827244860491,LOW
2015-10-23,273.6489868164,278.6839904785,273.5429992676,276.4960021973,29442500,21.174854278562435,1.5611576351700025,2196.8938294695286,Quadrante 3 (Picco -> Discesa),HOLD,0,13.527969164171735,LOW
2015-10-24,276.5039978027,281.7059936523,276.5039978027,281.6539916992,25942400,22.86610374450248,1.560284840819252,2175.384611396577,Quadrante 3 (Picco -> Discesa),HOLD,0,13.39419969332519,LOW
2015-10-25,281.4450073242,294.0589904785,281.4450073242,283.6799926758,45717100,24.46770248413003,1.5593839191845191,2144.0027776996853,Quadrante 3 (Picco -> Discesa),HOLD,0,13.199079955498174,LOW
2015-10-26,283.6279907227,285.299987793,280.5100097656,285.299987793,32108800,25.305577850345003,1.5588825389571215,2124.108372875532,Quadrante 3 (Picco -> Discesa),HOLD,0,13.076003447042382,LOW
2015-10-27,285.1809997559,296.2120056152,285.0079956055,293.7879943848,46331800,26.02092590332998,1.5583641103861003,2093.0778035748863,Quadrante 3 (Picco -> Discesa),HOLD,0,12.883877759618121,LOW
2015-10-28,293.7030029297,306.3309936523,293.7030029297,304.6180114746,50808100,28.52735137940246,1.5570314219359696,2072.535375310994,Quadrante 3 (Picco -> Discesa),HOLD,0,12.755937413229013,LOW
2015-10-29,304.324005127,318.1700134277,301.8229980469,313.8550109863,64495900,31.510100936890012,1.555378073299288,2043.7690575026754,Quadrante 3 (Picco -> Discesa),HOLD,0,12.575782794976949,LOW
2015-10-30,313.9429931641,334.1690063477,313.9400024414,328.0150146484,78305000,34.94522590637001,1.5535444334883786,2025.6883572662834,Quadrante 3 (Picco -> Discesa),HOLD,0,12.461371299687704,LOW
2015-10-31,328.5119934082,332.7770080566,309.2510070801,314.1659851074,48598100,37.55759963989249,1.552012191236427,1999.5494748540648,Quadrante 3 (Picco -> Discesa),HOLD,0,12.297760953835832,LOW
2015-11-01,315.0050048828,327.4719848633,311.8810119629,325.4309997559,37001100,40.32807350159004,1.5504408475451434,1981.326899795021,Quadrante 3 (Picco -> Discesa),HOLD,0,12.184438937321724,LOW
2015-11-02,325.941986084,365.3599853516,323.2090148926,361.1889953613,101918000,45.524723052974934,1.547502162360653,1954.5170006809249,Quadrante 3 (Picco -> Discesa),HOLD,0,12.016620571819834,LOW
2015-11-03,361.8729858398,417.8999938965,357.6470031738,403.4169921875,206162000,53.47882347106747,1.543207417530295,1938.663387392747,Quadrante 3 (Picco -> Discesa),HOLD,0,11.914405583453398,LOW
2015-11-04,403.6640014648,495.5620117188,380.5480041504,411.5629882813,263900000,61.856648254395,1.5385564189008691,1918.9684260551642,Quadrante 3 (Picco -> Discesa),HOLD,0,11.787325391120856,LOW
2015-11-05,408.0769958496,447.5610046387,374.5809936523,386.3540039063,151824992,68.16169967651496,1.5351055722587532,1910.1914146294757,Quadrante 3 (Picco -> Discesa),HOLD,0,11.73016679048959,LOW
2015-11-06,388.0469970703,395.8359985352,354.0249938965,374.4700012207,122687000,72.68707542419247,1.5324139239011998,1894.225484023643,Quadrante 3 (Picco -> Discesa),HOLD,0,11.631827208505113,LOW
2015-11-07,374.2690124512,390.5859985352,372.433013916,386.4819946289,56625100,77.18997383117505,1.5298827067511342,1887.183607410331,Quadrante 3 (Picco -> Discesa),HOLD,0,11.591075498592321,LOW
2015-11-08,384.2780151367,389.8949890137,368.700012207,373.3680114746,51817600,79.72424850464006,1.528254787043953,1874.5983645524773,Quadrante 3 (Picco -> Discesa),HOLD,0,11.516789469008227,LOW
2015-11-09,374.324005127,385.2780151367,362.8949890137,380.2569885254,68224400,81.34352111816997,1.5272719261065486,1869.5078624799173,Quadrante 3 (Picco -> Discesa),HOLD,0,11.488338806041634,LOW
2015-11-10,379.9840087891,381.3869934082,329.108001709,336.8190002441,95797904,81.12707252502997,1.5271578429672146,1859.6619255021558,Quadrante 3 (Picco -> Discesa),HOLD,0,11.430554084940246,LOW
2015-11-11,339.8200073242,340.5849914551,300.9970092773,311.0840148926,107070000,77.84759864807495,1.528841579283947,1856.0579162095023,Quadrante 3 (Picco -> Discesa),HOLD,0,11.411755342081122,LOW
2015-11-12,314.0790100098,345.0809936523,313.3559875488,338.1520080566,78477800,73.0583496093775,1.5312134521324632,1846.1880734830029,Quadrante 3 (Picco -> Discesa),HOLD,0,11.348751989679718,LOW
2015-11-13,338.4979858398,340.9140014648,326.075012207,336.7529907227,52003000,63.929599761967495,1.5360726063980932,1841.4630656914298,Quadrante 3 (Picco -> Discesa),HOLD,0,11.312520748563248,LOW
2015-11-14,336.6239929199,338.1809997559,329.9700012207,332.9060058594,38612000,53.750826263429985,1.5413549084892164,1825.9511708109878,Quadrante 3 (Picco -> Discesa),HOLD,0,11.2094095767007,LOW
2015-11-15,333.050994873,334.6619873047,317.4899902344,320.1659851074,44213100,45.279449844354986,1.5458333362139416,1814.0515934734156,Quadrante 3 (Picco -> Discesa),HOLD,0,11.131537530253256,LOW
