date,open,high,low,close,volume
2022-02-28,432.03,438.2,430.7,415.3791,145615000
2022-03-01,435.04,437.17,427.11,409.0528,137785900
2022-03-02,432.37,439.72,431.57,416.5778,117726500
2022-03-03,440.47,441.11,433.8,414.5039,105501700
2022-03-04,431.75,433.37,427.88,411.1362,113978200
2022-03-07,431.55,432.3,419.36,399.0163,137896600
2022-03-08,419.62,427.21,415.12,395.991,164772700
2022-03-09,425.14,429.51,422.82,406.6079,116990800
2022-03-10,422.52,426.43,420.44,404.7718,93972700
2022-03-11,428.12,428.77,419.53,399.6251,95636300
2022-03-14,420.89,424.55,415.79,396.7045,95729200
2022-03-15,419.77,426.84,418.42,405.4282,106219100
2022-03-16,429.89,435.68,424.8,414.4183,144954800
2022-03-17,433.59,441.07,433.19,419.603,102676900
2022-03-18,438.0,444.86,437.22,424.1989,106345500
2022-03-21,444.34,446.46,440.68,424.0748,88349800
2022-03-22,445.86,450.58,445.86,429.0371,74650400
2022-03-23,446.91,448.49,443.71,423.5118,79426100
2022-03-24,445.94,450.5,444.76,429.896,64736900
2022-03-25,451.16,452.98,448.43,431.9954,77101300
2022-03-28,452.06,455.91,450.06,435.0682,68529800
2022-03-29,460.02,462.07,457.18,440.4504,86581500
2022-03-30,460.34,461.2,456.47,437.7306,79666900
2022-03-31,457.89,458.76,451.16,430.9934,121699900
2022-04-01,453.31,453.46,449.14,432.2149,89048800
2022-04-04,453.13,456.91,452.26,435.9175,59601000
2022-04-05,455.22,457.83,449.82,430.4113,74214500
2022-04-06,446.89,448.93,443.47,426.1074,106898000
2022-04-07,445.59,450.69,443.53,428.2546,78097200
2022-04-08,447.97,450.63,445.94,427.1094,79272700
2022-04-11,444.11,445.0,439.39,419.8092,89770500
2022-04-12,443.08,445.75,436.65,418.2537,84363600
2022-04-13,438.03,444.11,437.84,423.0442,74070400
2022-04-14,443.55,444.73,437.68,417.7765,97869500
2022-04-18,436.81,439.75,435.61,417.9483,66002500
2022-04-19,437.86,445.8,437.68,424.6951,77821000
2022-04-20,446.92,447.57,443.48,424.3802,65224400
2022-04-21,448.54,450.01,437.1,418.0342,85417300
2022-04-22,436.91,438.08,425.44,406.5637,132471800
2022-04-25,423.67,428.69,418.84,408.9208,119647700
2022-04-26,425.83,426.04,416.07,397.0781,103996300
2022-04-27,417.24,422.92,415.01,398.1946,122030000
2022-04-28,422.29,429.64,417.6,408.2528,105449100
2022-04-29,423.59,425.87,411.21,393.1655,145491100
2022-05-02,412.07,415.92,405.02,395.5321,158312500
2022-05-03,415.01,418.93,413.36,397.3453,100028200
2022-05-04,417.08,429.66,413.71,409.4456,144247900
2022-05-05,424.55,425.0,409.44,394.8928,172929100
2022-05-06,411.1,414.8,405.73,392.5357,151770800
2022-05-09,405.1,406.41,396.5,379.9678,155586100
