date,open,high,low,close,volume,oscillator,phase,amplitude,phase_quadrant,signal,position,signal_strength,confidence
2022-04-25,177.17,177.51,176.48,177.05,13073690,0.5479999999999734,1.547198915202426,23.225041399645693,Quadrante 3 (Picco -> Discesa),HOLD,0,46.48546600524256,MEDIUM
2022-04-26,177.95,178.3,176.915,177.32,9042403,0.06950000000003342,1.562919348720723,8.823271825738063,Quadrante 3 (Picco -> Discesa),HOLD,0,17.50825490266247,LOW
2022-04-27,176.456,176.64,175.5,175.98,8854721,-0.5684999999999718,1.61045582139222,14.338283003357759,Quadrante 4 (Discesa -> Minimo),HOLD,0,28.604783166557862,LOW
2022-04-28,175.92,176.965,175.69,176.93,6384762,-1.2704999999999984,1.70520614167363,9.480956094153397,Quadrante 4 (Discesa -> Minimo),HOLD,0,18.83155450045947,LOW
2022-04-29,178.067,178.615,176.71,176.91,7719702,-1.8862499999999898,1.7201991236407066,12.672356761812933,Quadrante 4 (Discesa -> Minimo),HOLD,0,49.29864276051117,MEDIUM
2022-05-02,173.612,174.65,172.98,173.63,14318600,-2.7330000000000325,1.855762972645935,9.721638768329397,Quadrante 4 (Discesa -> Minimo),HOLD,0,37.32544018848206,MEDIUM
2022-05-03,173.89,175.205,173.85,174.09,7214348,-3.1980000000000075,1.8536781926324395,11.457268134568913,Quadrante 4 (Discesa -> Minimo),HOLD,0,44.179890010027485,MEDIUM
2022-05-04,174.32,176.35,173.67,175.8,10491680,-3.4962500000000034,1.9574805273346567,9.270933577002351,Quadrante 4 (Discesa -> Minimo),HOLD,0,35.65694927380583,MEDIUM
2022-05-05,177.56,177.61,174.66,175.13,12794160,-3.921999999999997,1.9460501009477804,10.7009750929893,Quadrante 4 (Discesa -> Minimo),HOLD,0,41.359485148945716,MEDIUM
2022-05-06,175.39,176.56,174.86,175.42,7643269,-4.134500000000003,2.056789892312274,8.851667914432522,Quadrante 4 (Discesa -> Minimo),HOLD,0,34.24602225958871,MEDIUM
2022-05-09,174.27,174.27,172.79,172.88,10742410,-4.246249999999975,2.01073285020277,9.970483994245203,Quadrante 4 (Discesa -> Minimo),HOLD,0,38.72759720784348,MEDIUM
2022-05-10,173.804,173.96,171.2,171.42,11010440,-4.5642500000000155,2.1222696720140166,8.7113529592163,Quadrante 4 (Discesa -> Minimo),HOLD,0,33.81210549568933,MEDIUM
2022-05-11,172.51,173.32,172.2,172.82,9179592,-4.728499999999997,2.0859368141424994,9.597953446365876,Quadrante 4 (Discesa -> Minimo),HOLD,0,37.35286266488082,MEDIUM
2022-05-12,172.072,172.4,169.9,170.17,11626800,-5.158500000000004,2.1995495568162466,8.770917471152591,Quadrante 4 (Discesa -> Minimo),HOLD,0,34.063713916960126,MEDIUM
2022-05-13,168.312,169.62,168.01,168.79,13031060,-5.668000000000035,2.213393985794872,9.458063705987886,Quadrante 4 (Discesa -> Minimo),HOLD,0,36.631381802148155,MEDIUM
2022-05-16,168.43,170.43,168.34,170.4,7319277,-5.768499999999989,2.3365931705138734,8.32261346721742,Quadrante 4 (Discesa -> Minimo),HOLD,0,32.045426517050544,MEDIUM
2022-05-17,170.44,170.53,169.1409,169.33,6441110,-5.961000000000013,2.304733326255543,8.899695322011773,Quadrante 4 (Discesa -> Minimo),HOLD,0,34.282092301417805,MEDIUM
2022-05-18,169.01,170.21,168.81,169.42,7472850,-6.350500000000011,2.4599925680082357,8.177673580653336,Quadrante 4 (Discesa -> Minimo),HOLD,0,31.395476564636564,MEDIUM
2022-05-19,171.5489,172.5197,170.89,171.91,10580270,-6.424999999999983,2.4570997543890485,8.293107176004423,Quadrante 4 (Discesa -> Minimo),HOLD,0,31.84703569428438,MEDIUM
2022-05-20,171.71,172.24,170.89,172.03,6578056,-6.486499999999978,2.613312436699731,7.510346466052254,Quadrante 4 (Discesa -> Minimo),HOLD,0,28.647710758595885,LOW
2022-05-23,173.13,173.38,172.28,172.83,5518503,-6.25275000000002,2.607159972267835,7.265927385260673,Quadrante 4 (Discesa -> Minimo),HOLD,0,27.651244106243787,LOW
2022-05-24,173.47,174.41,173.35,174.13,6793991,-5.858499999999992,2.7313543969986114,6.388587798918634,Quadrante 4 (Discesa -> Minimo),HOLD,0,24.341875927617803,LOW
2022-05-25,172.79,173.16,171.73,173.08,4595917,-5.680999999999983,2.691740922170377,6.3086362239196765,Quadrante 4 (Discesa -> Minimo),HOLD,0,24.11352090472434,LOW
2022-05-26,172.13,172.93,171.76,172.76,6466982,-5.226499999999987,2.8612964541955175,5.438755370110984,Quadrante 4 (Discesa -> Minimo),HOLD,0,20.731599428785067,LOW
2022-05-27,173.49,173.52,172.64,172.85,3847871,-4.625500000000017,2.7495949776318986,5.005152198033961,Quadrante 4 (Discesa -> Minimo),HOLD,0,19.1086131261073,LOW
2022-05-31,172.71,173.07,171.08,171.14,6243967,-4.342500000000001,2.876708873567285,4.499426808214726,Quadrante 4 (Discesa -> Minimo),HOLD,0,17.183682941443866,LOW
2022-06-01,172.21,172.53,171.39,172.23,6946516,-3.849000000000018,2.790271989769058,4.099394976283487,Quadrante 4 (Discesa -> Minimo),HOLD,0,15.637585602433422,LOW
2022-06-02,173.66,174.45,173.49,174.35,5623129,-3.233750000000015,2.8536132798544416,3.3726360937018454,Quadrante 4 (Discesa -> Minimo),HOLD,0,12.870891165256864,LOW
2022-06-03,173.529,173.965,172.25,172.58,5519407,-2.989750000000015,2.631019017017163,3.426787669042392,Quadrante 4 (Discesa -> Minimo),HOLD,0,12.91260582711067,LOW
